INSERT INTO skills(name,power,max_pp,element_type, created_at, updated_at) VALUES
 ('pound',40,35,'normal', now(), now())
,('karate-chop',50,25,'fighting', now(), now())
,('double-slap',15,10,'normal', now(), now())
,('comet-punch',18,15,'normal', now(), now())
,('mega-punch',80,20,'normal', now(), now())
,('pay-day',40,20,'normal', now(), now())
,('fire-punch',75,15,'fire', now(), now())
,('ice-punch',75,15,'ice', now(), now())
,('thunder-punch',75,15,'electric', now(), now())
,('scratch',40,35,'normal', now(), now())
,('vice-grip',55,30,'normal', now(), now())
,('razor-wind',80,10,'normal', now(), now())
,('cut',50,30,'normal', now(), now())
,('gust',40,35,'flying', now(), now())
,('wing-attack',60,35,'flying', now(), now())
,('fly',90,15,'flying', now(), now())
,('bind',15,20,'normal', now(), now())
,('slam',80,20,'normal', now(), now())
,('vine-whip',45,25,'grass', now(), now())
,('stomp',65,20,'normal', now(), now())
,('double-kick',30,30,'fighting', now(), now())
,('mega-kick',120,5,'normal', now(), now())
,('jump-kick',100,10,'fighting', now(), now())
,('rolling-kick',60,15,'fighting', now(), now())
,('headbutt',70,15,'normal', now(), now())
,('horn-attack',65,25,'normal', now(), now())
,('fury-attack',15,20,'normal', now(), now())
,('tackle',50,35,'normal', now(), now())
,('body-slam',85,15,'normal', now(), now())
,('wrap',15,20,'normal', now(), now())
,('take-down',90,20,'normal', now(), now())
,('thrash',120,10,'normal', now(), now())
,('double-edge',120,15,'normal', now(), now())
,('poison-sting',15,35,'poison', now(), now())
,('twineedle',25,20,'bug', now(), now())
,('pin-missile',25,20,'bug', now(), now())
,('bite',60,25,'dark', now(), now())
,('acid',40,30,'poison', now(), now())
,('ember',40,25,'fire', now(), now())
,('flamethrower',90,15,'fire', now(), now())
,('water-gun',40,25,'water', now(), now())
,('hydro-pump',110,5,'water', now(), now())
,('surf',90,15,'water', now(), now())
,('ice-beam',90,10,'ice', now(), now())
,('blizzard',110,5,'ice', now(), now())
,('psybeam',65,20,'psychic', now(), now())
,('bubble-beam',65,20,'water', now(), now())
,('aurora-beam',65,20,'ice', now(), now())
,('hyper-beam',150,5,'normal', now(), now())
,('peck',35,35,'flying', now(), now())
,('drill-peck',80,20,'flying', now(), now())
,('submission',80,20,'fighting', now(), now())
,('strength',80,15,'normal', now(), now())
,('absorb',20,25,'grass', now(), now())
,('mega-drain',40,15,'grass', now(), now())
,('razor-leaf',55,25,'grass', now(), now())
,('solar-beam',120,10,'grass', now(), now())
,('petal-dance',120,10,'grass', now(), now())
,('fire-spin',35,15,'fire', now(), now())
,('thunder-shock',40,30,'electric', now(), now())
,('thunderbolt',90,15,'electric', now(), now())
,('thunder',110,10,'electric', now(), now())
,('rock-throw',50,15,'rock', now(), now())
,('earthquake',100,10,'ground', now(), now())
,('dig',80,10,'ground', now(), now())
,('confusion',50,25,'psychic', now(), now())
,('psychic',90,10,'psychic', now(), now())
,('quick-attack',40,30,'normal', now(), now())
,('rage',20,20,'normal', now(), now())
,('self-destruct',200,5,'normal', now(), now())
,('egg-bomb',100,10,'normal', now(), now())
,('lick',30,30,'ghost', now(), now())
,('smog',30,20,'poison', now(), now())
,('sludge',65,20,'poison', now(), now())
,('bone-club',65,20,'ground', now(), now())
,('fire-blast',110,5,'fire', now(), now())
,('waterfall',80,15,'water', now(), now())
,('clamp',35,15,'water', now(), now())
,('swift',60,20,'normal', now(), now())
,('skull-bash',130,10,'normal', now(), now())
,('spike-cannon',20,15,'normal', now(), now())
,('constrict',10,35,'normal', now(), now())
,('high-jump-kick',130,10,'fighting', now(), now())
,('dream-eater',100,15,'psychic', now(), now())
,('barrage',15,20,'normal', now(), now())
,('leech-life',20,15,'bug', now(), now())
,('sky-attack',140,5,'flying', now(), now())
,('bubble',40,30,'water', now(), now())
,('dizzy-punch',70,10,'normal', now(), now())
,('crabhammer',100,10,'water', now(), now())
,('explosion',250,5,'normal', now(), now())
,('fury-swipes',18,15,'normal', now(), now())
,('bonemerang',50,10,'ground', now(), now())
,('rock-slide',75,10,'rock', now(), now())
,('hyper-fang',80,15,'normal', now(), now())
,('tri-attack',80,10,'normal', now(), now())
,('slash',70,20,'normal', now(), now())
,('triple-kick',10,10,'fighting', now(), now())
,('thief',60,25,'dark', now(), now())
,('flame-wheel',60,25,'fire', now(), now())
,('snore',50,15,'normal', now(), now())
,('aeroblast',100,5,'flying', now(), now())
